DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2016-07-28,31138,9647,175.0,176.5,173.0,176.5,+,1.5,28000,17140,10860,295,55,240,-1166,194,1360,9934
2016-07-29,30008,8686,177.0,177.0,172.5,172.5,-,4.0,19460,22171,-2710,59,318,-258,1368,1947,579,-1600
2016-08-01,34703,11713,175.0,177.0,174.5,177.0,+,4.5,31465,17177,14288,272,50,222,-3047,255,3303,11462
2016-08-02,15366,6097,177.5,177.5,175.5,176.0,-,1.0,12022,11269,753,0,609,-609,456,630,174,601
2016-08-03,21652,8267,172.5,174.0,172.0,172.5,-,3.5,8386,18406,-10019,78,240,-162,1717,1911,194,-8464
2016-08-04,14292,4503,173.0,174.5,172.5,174.5,+,2.0,11306,9392,1914,136,268,-132,-763,146,909,1018
2016-08-05,25803,8212,175.0,177.5,174.0,177.0,+,2.5,22046,9004,13041,0,361,-361,-2658,268,2927,10022
2016-08-08,16241,5032,178.0,178.0,176.5,178.0,+,1.0,12057,9536,2520,195,137,58,-510,145,655,2068
2016-08-09,16443,6767,178.5,179.5,177.0,178.5,+,0.5,13851,8604,5246,346,254,92,-1136,158,1295,4201
2016-08-10,19307,5979,179.0,179.5,178.0,179.5,+,1.0,16631,14296,2334,110,279,-169,108,401,293,2273
2016-08-11,28216,9250,177.5,178.0,175.5,176.5,-,3.0,15187,23647,-8460,94,464,-370,760,1089,329,-8069
2016-08-12,23986,7860,178.5,178.5,177.0,177.5,+,1.0,22438,16360,6078,19,263,-244,-1019,152,1171,4815
2016-08-15,13660,4907,178.5,179.0,177.5,179.0,+,1.5,12101,7480,4621,0,113,-113,-330,106,436,4178
2016-08-16,34284,10692,178.0,179.0,175.0,175.5,-,3.5,20886,30458,-9571,46,343,-297,2026,2275,249,-7842
2016-08-17,24169,8245,177.0,177.5,176.0,177.0,+,1.5,20856,13935,6920,0,554,-554,-2411,79,2490,3955
2016-08-18,27899,9690,176.0,176.5,175.0,176.0,-,1.0,18911,16393,2517,0,385,-385,738,986,248,2870
2016-08-19,23496,8233,177.0,177.5,174.0,174.5,-,1.5,15963,16865,-901,0,974,-974,-642,371,1013,-2517
2016-08-22,21822,7785,173.0,174.0,171.5,173.0,-,1.5,11631,17992,-6360,6,121,-115,959,1219,260,-5516
2016-08-23,21467,6651,174.0,175.0,173.5,174.0,+,1.0,18945,15690,3254,0,419,-419,-702,266,968,2133
2016-08-24,12532,4272,175.0,175.5,173.5,173.5,-,0.5,9767,9594,172,22,170,-148,-303,332,635,-278
2016-08-25,23973,8613,175.0,177.0,174.5,177.0,+,3.5,20326,10970,9355,99,244,-145,-285,533,818,8925
2016-08-26,15804,4529,175.0,177.0,175.0,177.0, ,0.0,13625,13178,447,26,455,-429,908,992,84,926
2016-08-29,16967,5102,175.0,177.0,174.0,176.5,-,0.5,11932,14124,-2192,0,83,-83,97,814,717,-2178
2016-08-30,19752,5559,176.0,176.5,174.0,174.5,-,2.0,10924,18307,-7382,178,421,-243,1581,1756,175,-6044
